brand,model,color,gearshift_type,fuel_source
Mercedes-Benz,C Class,Green,Manual,Petrol
Audi,A1,Dark Gray,Manual,Electric
BMW,Series 3,Green,Manual,Petrol
Audi,TT,Gray,Automatic,Electric
BMW,Series 5,Light Gray,Manual,Electric
BMW,Series 5,White,Automatic,Petrol
Mercedes-Benz,C Class,Orange,Manual,Diesel
Mercedes-Benz,AMG,Yellow,Manual,Petrol
Audi,A4,Red,Manual,Diesel
BMW,Series 5,Yellow,Automatic,Electric
Mercedes-Benz,E Class,Black,Manual,Electric
Mercedes-Benz,C Class,Gray,Manual,Diesel
Mercedes-Benz,C Class,Blue,Manual,Electric
BMW,Series 7,Black,Automatic,Electric
Audi,TT,Yellow,Automatic,Electric
Mercedes-Benz,E Class,Gray,Manual,Diesel
Audi,A1,Orange,Manual,Petrol
BMW,Series 5,Orange,Manual,Electric
BMW,Series 5,White,Manual,Electric
Audi,A4,Green,Manual,Petrol
Audi,A1,Blue,Automatic,Diesel
BMW,Series 3,Gray,Automatic,Petrol
BMW,Series 7,White,Automatic,Petrol
Mercedes-Benz,C Class,Green,Manual,Petrol
BMW,Series 7,Dark Gray,Manual,Electric
Audi,A4,White,Automatic,Petrol
Mercedes-Benz,AMG,White,Manual,Petrol
Audi,TT,Light Gray,Automatic,Petrol
Mercedes-Benz,AMG,Blue,Manual,Petrol
Mercedes-Benz,AMG,Gray,Automatic,Electric
Mercedes-Benz,AMG,Gray,Automatic,Petrol
BMW,Series 5,Light Gray,Automatic,Electric
Mercedes-Benz,AMG,Yellow,Manual,Petrol
Audi,TT,Dark Gray,Automatic,Diesel
Audi,TT,Yellow,Manual,Electric
Audi,A4,Orange,Manual,Electric
Mercedes-Benz,E Class,Green,Manual,Diesel
Mercedes-Benz,AMG,Black,Manual,Petrol
Mercedes-Benz,E Class,Yellow,Automatic,Diesel
BMW,Series 5,Dark Gray,Manual,Petrol
BMW,Series 5,Red,Manual,Electric
Mercedes-Benz,AMG,Red,Manual,Electric
Mercedes-Benz,AMG,Green,Automatic,Electric
BMW,Series 3,Green,Manual,Petrol
BMW,Series 3,Red,Automatic,Petrol
Mercedes-Benz,C Class,Green,Manual,Petrol
BMW,Series 7,Gray,Manual,Diesel
Audi,A4,Dark Gray,Automatic,Petrol
Mercedes-Benz,AMG,Red,Manual,Electric
BMW,Series 5,Red,Automatic,Petrol
Mercedes-Benz,AMG,White,Automatic,Diesel
BMW,Series 5,Dark Gray,Automatic,Diesel
Audi,A4,Light Gray,Manual,Petrol
Mercedes-Benz,C Class,Gray,Manual,Petrol
Mercedes-Benz,AMG,Green,Manual,Electric
BMW,Series 7,Red,Automatic,Electric
BMW,Series 7,White,Manual,Electric
BMW,Series 5,Yellow,Manual,Petrol
BMW,Series 3,Light Gray,Manual,Diesel
Mercedes-Benz,C Class,White,Automatic,Electric
Mercedes-Benz,C Class,Yellow,Manual,Petrol
Mercedes-Benz,C Class,Green,Manual,Diesel
Audi,A4,Orange,Manual,Petrol
Audi,TT,Blue,Automatic,Electric
Audi,A4,White,Manual,Diesel
BMW,Series 7,Light Gray,Manual,Electric
BMW,Series 7,Gray,Automatic,Petrol
BMW,Series 5,Green,Manual,Electric
BMW,Series 7,Black,Automatic,Electric
BMW,Series 7,Yellow,Automatic,Diesel
Audi,A4,Black,Manual,Diesel
BMW,Series 7,Yellow,Automatic,Petrol
BMW,Series 3,Blue,Automatic,Diesel
BMW,Series 3,Orange,Manual,Electric
Audi,A1,Dark Gray,Automatic,Diesel
BMW,Series 5,Gray,Manual,Petrol
BMW,Series 7,Light Gray,Manual,Diesel
Audi,A1,Gray,Manual,Diesel
Mercedes-Benz,C Class,Yellow,Automatic,Diesel
Audi,A1,Green,Manual,Petrol
Mercedes-Benz,E Class,Gray,Automatic,Diesel
Audi,TT,Yellow,Manual,Electric
Audi,A1,Red,Manual,Petrol
Mercedes-Benz,C Class,Dark Gray,Manual,Petrol
Audi,A4,White,Automatic,Electric
Mercedes-Benz,AMG,Green,Automatic,Petrol
Mercedes-Benz,E Class,Black,Manual,Electric
Mercedes-Benz,C Class,Red,Manual,Diesel
Audi,A1,White,Automatic,Petrol
BMW,Series 7,Dark Gray,Manual,Diesel
Audi,TT,Red,Automatic,Electric
Mercedes-Benz,C Class,Gray,Automatic,Electric
BMW,Series 5,White,Manual,Petrol
Mercedes-Benz,E Class,Dark Gray,Automatic,Electric
BMW,Series 5,Blue,Manual,Petrol
Audi,A1,Orange,Automatic,Electric
Mercedes-Benz,E Class,Blue,Manual,Diesel
Mercedes-Benz,E Class,Gray,Manual,Petrol
Mercedes-Benz,E Class,Gray,Automatic,Petrol
Mercedes-Benz,E Class,Gray,Manual,Petrol
Audi,A1,Red,Automatic,Electric
Mercedes-Benz,E Class,Red,Automatic,Electric
Audi,A4,Orange,Manual,Electric
BMW,Series 7,Yellow,Automatic,Diesel
Mercedes-Benz,E Class,Orange,Manual,Electric
Mercedes-Benz,AMG,Black,Manual,Diesel
BMW,Series 7,Yellow,Automatic,Diesel
Audi,A4,Blue,Automatic,Electric
Audi,A1,Green,Manual,Diesel
BMW,Series 3,Black,Manual,Diesel
Audi,A4,Light Gray,Automatic,Diesel
BMW,Series 7,Green,Automatic,Electric
Audi,A1,Orange,Automatic,Petrol
Mercedes-Benz,C Class,Blue,Manual,Electric
Mercedes-Benz,AMG,Green,Automatic,Petrol
Mercedes-Benz,C Class,White,Automatic,Petrol
Mercedes-Benz,E Class,Red,Manual,Electric
BMW,Series 5,Blue,Manual,Electric
Audi,TT,Light Gray,Automatic,Electric
Mercedes-Benz,C Class,Orange,Automatic,Diesel
BMW,Series 7,Black,Automatic,Diesel
Mercedes-Benz,AMG,Red,Manual,Electric
Audi,TT,Orange,Manual,Petrol
Audi,A4,Green,Automatic,Petrol
Mercedes-Benz,C Class,Black,Automatic,Diesel
Audi,A4,Yellow,Automatic,Electric
BMW,Series 5,Blue,Automatic,Electric
Audi,A1,Black,Automatic,Petrol
BMW,Series 3,Red,Manual,Petrol
Mercedes-Benz,C Class,Gray,Automatic,Electric
Audi,A1,Orange,Automatic,Diesel
Audi,TT,Green,Automatic,Petrol
BMW,Series 5,Orange,Manual,Petrol
Audi,A1,Yellow,Manual,Diesel
Audi,A1,Black,Manual,Petrol
Mercedes-Benz,E Class,Green,Manual,Electric
BMW,Series 7,White,Automatic,Electric
BMW,Series 7,Black,Manual,Electric
Audi,A1,Light Gray,Automatic,Electric
BMW,Series 3,Dark Gray,Automatic,Electric
Mercedes-Benz,E Class,Red,Manual,Petrol
Mercedes-Benz,C Class,Yellow,Automatic,Electric
Audi,TT,Gray,Automatic,Electric
BMW,Series 3,Dark Gray,Automatic,Petrol
BMW,Series 5,White,Automatic,Electric
BMW,Series 7,Blue,Automatic,Petrol
Mercedes-Benz,E Class,Orange,Automatic,Petrol
BMW,Series 3,Blue,Manual,Electric
Audi,TT,Green,Automatic,Diesel
Mercedes-Benz,C Class,Gray,Manual,Petrol
Audi,TT,Gray,Automatic,Petrol
Audi,A1,Dark Gray,Automatic,Petrol
BMW,Series 7,Blue,Automatic,Electric
Mercedes-Benz,C Class,Red,Automatic,Diesel
BMW,Series 7,Red,Automatic,Petrol
BMW,Series 5,White,Manual,Petrol
Mercedes-Benz,E Class,Blue,Manual,Diesel
Audi,A1,Green,Automatic,Diesel
Audi,A4,Blue,Automatic,Petrol
BMW,Series 7,Black,Manual,Electric
Mercedes-Benz,C Class,White,Manual,Electric
Audi,TT,Yellow,Automatic,Electric
Audi,TT,Black,Manual,Electric
Mercedes-Benz,E Class,Yellow,Automatic,Diesel
BMW,Series 7,Red,Manual,Diesel
Audi,A1,Dark Gray,Automatic,Electric
BMW,Series 5,Orange,Manual,Diesel
Audi,TT,Gray,Automatic,Petrol
Mercedes-Benz,C Class,Yellow,Manual,Electric
BMW,Series 3,Blue,Manual,Diesel
Mercedes-Benz,AMG,Light Gray,Automatic,Diesel
Audi,A4,Gray,Manual,Petrol
Mercedes-Benz,AMG,Light Gray,Automatic,Diesel
BMW,Series 7,Blue,Manual,Diesel
Mercedes-Benz,C Class,White,Manual,Electric
Mercedes-Benz,E Class,Dark Gray,Manual,Diesel
Mercedes-Benz,C Class,White,Manual,Diesel
Audi,TT,Gray,Automatic,Petrol
Audi,A4,Black,Automatic,Electric
BMW,Series 3,Orange,Automatic,Diesel
BMW,Series 7,Red,Automatic,Petrol
BMW,Series 5,Black,Manual,Electric
BMW,Series 7,White,Automatic,Diesel
Audi,A1,Light Gray,Automatic,Diesel
Mercedes-Benz,AMG,Dark Gray,Automatic,Electric
Audi,A1,Blue,Automatic,Petrol
Mercedes-Benz,E Class,Dark Gray,Manual,Electric
BMW,Series 7,Red,Automatic,Petrol
BMW,Series 7,Light Gray,Automatic,Petrol
Mercedes-Benz,C Class,Yellow,Automatic,Diesel
BMW,Series 5,Red,Automatic,Petrol
Audi,A1,Gray,Automatic,Electric
Mercedes-Benz,E Class,Black,Automatic,Petrol
Mercedes-Benz,AMG,White,Manual,Diesel
BMW,Series 3,Yellow,Manual,Diesel
BMW,Series 3,Black,Manual,Diesel
BMW,Series 5,Light Gray,Manual,Petrol
Audi,A1,Blue,Manual,Diesel
Audi,A4,Red,Manual,Diesel
Audi,TT,Red,Manual,Petrol
Audi,TT,Orange,Manual,Electric
Audi,A4,Green,Automatic,Electric
Audi,A1,Light Gray,Automatic,Electric
BMW,Series 5,Orange,Manual,Electric
Audi,TT,Red,Automatic,Diesel
Mercedes-Benz,C Class,Orange,Automatic,Petrol
Mercedes-Benz,C Class,White,Manual,Petrol
Audi,TT,Red,Automatic,Electric
Mercedes-Benz,AMG,Red,Automatic,Petrol
Audi,A1,Gray,Manual,Electric
Mercedes-Benz,C Class,Red,Manual,Electric
Audi,TT,Red,Automatic,Petrol
Audi,A1,Blue,Automatic,Diesel
Audi,A4,Dark Gray,Automatic,Diesel
Audi,A4,Blue,Manual,Electric
Audi,A1,Dark Gray,Manual,Diesel
Audi,A4,Orange,Manual,Electric
BMW,Series 3,Green,Manual,Diesel
Audi,A4,White,Automatic,Diesel
BMW,Series 3,Orange,Manual,Electric
BMW,Series 7,Orange,Manual,Diesel
Audi,A4,Light Gray,Manual,Diesel
Audi,TT,Red,Automatic,Electric
Mercedes-Benz,AMG,Black,Manual,Petrol
BMW,Series 3,Orange,Manual,Electric
Mercedes-Benz,AMG,Orange,Automatic,Electric
Audi,A4,Green,Automatic,Electric
BMW,Series 5,Orange,Manual,Electric
Mercedes-Benz,AMG,White,Automatic,Diesel
BMW,Series 7,Orange,Manual,Diesel
Mercedes-Benz,AMG,Dark Gray,Automatic,Diesel
BMW,Series 3,Light Gray,Manual,Diesel
BMW,Series 5,Yellow,Automatic,Petrol
Audi,A1,Green,Automatic,Electric
BMW,Series 5,Blue,Automatic,Petrol
Audi,A1,Green,Automatic,Diesel
BMW,Series 3,Green,Automatic,Diesel
Audi,A1,Yellow,Manual,Petrol
Mercedes-Benz,AMG,Gray,Manual,Petrol
Audi,TT,Light Gray,Automatic,Electric
Mercedes-Benz,AMG,Red,Automatic,Diesel
Mercedes-Benz,AMG,Light Gray,Automatic,Diesel
Audi,TT,Dark Gray,Automatic,Diesel
Mercedes-Benz,AMG,Black,Manual,Electric
Audi,A1,Orange,Manual,Electric
Mercedes-Benz,C Class,Dark Gray,Automatic,Diesel
Mercedes-Benz,AMG,Red,Manual,Petrol
Mercedes-Benz,AMG,Light Gray,Automatic,Electric
BMW,Series 3,Gray,Automatic,Petrol
Mercedes-Benz,C Class,Orange,Manual,Petrol
Mercedes-Benz,E Class,Orange,Automatic,Petrol
BMW,Series 5,Green,Automatic,Diesel
BMW,Series 3,Gray,Manual,Electric
BMW,Series 7,Dark Gray,Manual,Diesel
BMW,Series 5,Gray,Automatic,Petrol
Mercedes-Benz,E Class,Red,Manual,Electric
Mercedes-Benz,C Class,Green,Manual,Electric
Mercedes-Benz,C Class,Red,Automatic,Electric
BMW,Series 3,Dark Gray,Manual,Petrol
Audi,TT,Red,Manual,Electric
BMW,Series 7,Light Gray,Manual,Electric
Audi,A4,White,Manual,Petrol
Mercedes-Benz,C Class,Orange,Manual,Diesel
Mercedes-Benz,E Class,Black,Manual,Diesel
BMW,Series 5,Green,Manual,Diesel
Mercedes-Benz,AMG,Black,Automatic,Petrol
BMW,Series 3,Orange,Manual,Electric
Audi,TT,Orange,Automatic,Electric
Audi,A1,Blue,Manual,Diesel
Mercedes-Benz,C Class,Dark Gray,Automatic,Petrol
BMW,Series 5,White,Automatic,Electric
BMW,Series 3,Red,Manual,Petrol
Mercedes-Benz,AMG,Red,Automatic,Electric
BMW,Series 7,Red,Automatic,Diesel
Audi,A4,Gray,Manual,Diesel
Mercedes-Benz,AMG,Yellow,Manual,Electric
Audi,TT,Red,Manual,Electric
Audi,A4,Green,Manual,Diesel
BMW,Series 3,Green,Manual,Petrol
Mercedes-Benz,C Class,Red,Manual,Diesel
BMW,Series 3,Orange,Manual,Diesel
BMW,Series 5,Yellow,Manual,Electric
Audi,TT,Green,Manual,Electric
Mercedes-Benz,AMG,Blue,Manual,Diesel
Audi,A1,Orange,Manual,Electric
Mercedes-Benz,E Class,Blue,Automatic,Diesel
Mercedes-Benz,E Class,Yellow,Manual,Diesel
Mercedes-Benz,E Class,Yellow,Manual,Petrol
Audi,A4,Blue,Automatic,Electric
Audi,A1,Orange,Automatic,Petrol
Mercedes-Benz,C Class,Gray,Automatic,Petrol
BMW,Series 7,Orange,Automatic,Petrol
BMW,Series 5,Dark Gray,Manual,Petrol
Mercedes-Benz,E Class,Green,Automatic,Petrol
Audi,A4,Gray,Automatic,Electric
Mercedes-Benz,C Class,Gray,Manual,Electric
Mercedes-Benz,AMG,Dark Gray,Automatic,Electric
Audi,A4,Blue,Automatic,Electric
BMW,Series 5,Blue,Manual,Diesel
BMW,Series 3,White,Manual,Electric
BMW,Series 3,Orange,Manual,Electric
BMW,Series 5,Gray,Manual,Petrol
BMW,Series 3,Blue,Automatic,Electric
BMW,Series 3,Yellow,Automatic,Electric
Audi,A1,White,Manual,Petrol
BMW,Series 3,White,Automatic,Diesel
BMW,Series 7,White,Manual,Petrol
Audi,A1,Light Gray,Manual,Diesel
BMW,Series 5,Yellow,Manual,Diesel
Mercedes-Benz,AMG,Red,Manual,Petrol
BMW,Series 7,Yellow,Automatic,Petrol
BMW,Series 5,Green,Automatic,Diesel
Mercedes-Benz,AMG,Orange,Automatic,Electric
BMW,Series 5,Blue,Manual,Electric
Audi,A1,Light Gray,Automatic,Electric
Mercedes-Benz,C Class,Blue,Manual,Diesel
Audi,A4,Green,Manual,Electric
BMW,Series 5,Orange,Automatic,Electric
Audi,A1,Black,Automatic,Diesel
Audi,A4,Black,Manual,Diesel
Mercedes-Benz,C Class,Blue,Automatic,Diesel
Audi,TT,Green,Automatic,Electric
Mercedes-Benz,AMG,Red,Automatic,Diesel
Audi,A4,Green,Manual,Diesel
Mercedes-Benz,E Class,Dark Gray,Automatic,Petrol
Mercedes-Benz,C Class,Green,Automatic,Electric
Audi,TT,Yellow,Automatic,Diesel
Mercedes-Benz,E Class,White,Automatic,Diesel
Audi,A1,Green,Manual,Petrol
Audi,A4,Yellow,Automatic,Diesel
Audi,TT,Gray,Automatic,Petrol
Audi,A4,Black,Automatic,Diesel
BMW,Series 7,Light Gray,Automatic,Electric
BMW,Series 3,White,Automatic,Diesel
Audi,A4,Dark Gray,Manual,Petrol
Audi,A4,Dark Gray,Automatic,Petrol
BMW,Series 7,Gray,Manual,Petrol
BMW,Series 7,Dark Gray,Manual,Electric
BMW,Series 5,Light Gray,Manual,Petrol
Audi,A1,Yellow,Manual,Electric
Audi,A1,Gray,Manual,Electric
Audi,TT,Red,Manual,Diesel
Audi,A4,Blue,Automatic,Petrol
Audi,TT,Dark Gray,Manual,Petrol
Mercedes-Benz,AMG,Light Gray,Automatic,Electric
Audi,A1,Light Gray,Manual,Electric
Mercedes-Benz,C Class,Blue,Automatic,Diesel
Audi,A4,Orange,Automatic,Petrol
Audi,A1,White,Manual,Electric
Audi,A4,Green,Manual,Diesel
Audi,A1,Green,Automatic,Petrol
Audi,A4,White,Manual,Electric
Audi,TT,Green,Automatic,Diesel
Mercedes-Benz,C Class,Yellow,Automatic,Petrol
Mercedes-Benz,E Class,Red,Manual,Petrol
Audi,A4,Red,Manual,Petrol
BMW,Series 3,Dark Gray,Automatic,Electric
Audi,A1,White,Manual,Diesel
Audi,A4,Dark Gray,Manual,Petrol
BMW,Series 7,Green,Automatic,Diesel
BMW,Series 5,Red,Manual,Petrol
BMW,Series 5,Blue,Automatic,Diesel
Audi,TT,Blue,Manual,Electric
Mercedes-Benz,AMG,Light Gray,Manual,Diesel
Audi,A1,White,Manual,Diesel
Mercedes-Benz,C Class,Green,Manual,Petrol
Mercedes-Benz,AMG,Yellow,Automatic,Electric
Audi,A1,Dark Gray,Automatic,Diesel
Mercedes-Benz,C Class,Green,Manual,Electric
Audi,A4,Red,Manual,Electric
Mercedes-Benz,C Class,Dark Gray,Manual,Diesel
Mercedes-Benz,C Class,Yellow,Automatic,Diesel
Audi,A4,Orange,Automatic,Diesel
BMW,Series 3,Gray,Automatic,Petrol
Audi,TT,Dark Gray,Automatic,Diesel
Mercedes-Benz,C Class,Orange,Automatic,Diesel
BMW,Series 5,Light Gray,Automatic,Petrol
Audi,A4,White,Manual,Diesel
Mercedes-Benz,E Class,Black,Automatic,Petrol
BMW,Series 5,Black,Manual,Petrol
BMW,Series 7,Light Gray,Manual,Electric
BMW,Series 5,White,Automatic,Electric
Mercedes-Benz,C Class,White,Manual,Electric
BMW,Series 3,Blue,Automatic,Diesel
Audi,TT,Yellow,Manual,Diesel
Mercedes-Benz,AMG,Light Gray,Automatic,Petrol
Mercedes-Benz,C Class,Yellow,Automatic,Petrol
Audi,A1,Orange,Manual,Petrol
Audi,TT,Dark Gray,Manual,Diesel
Mercedes-Benz,C Class,Blue,Automatic,Electric
Audi,A4,Dark Gray,Manual,Diesel
Audi,A1,Orange,Manual,Electric
Audi,A1,White,Automatic,Petrol
Mercedes-Benz,E Class,Orange,Manual,Diesel
BMW,Series 7,Black,Manual,Electric
Mercedes-Benz,C Class,Light Gray,Manual,Diesel
Audi,A1,White,Manual,Electric
Audi,A4,White,Automatic,Petrol
BMW,Series 5,Red,Manual,Petrol
BMW,Series 3,Blue,Automatic,Petrol
Mercedes-Benz,C Class,Blue,Manual,Electric
Mercedes-Benz,C Class,Red,Manual,Electric
BMW,Series 3,Gray,Automatic,Petrol
Audi,TT,Blue,Manual,Petrol
BMW,Series 3,Gray,Manual,Petrol
BMW,Series 7,Red,Automatic,Diesel
BMW,Series 3,Blue,Manual,Diesel
BMW,Series 7,Red,Automatic,Petrol
BMW,Series 3,Orange,Automatic,Diesel
Mercedes-Benz,AMG,Gray,Automatic,Petrol
BMW,Series 3,White,Automatic,Electric
Mercedes-Benz,C Class,Red,Automatic,Diesel
BMW,Series 3,Green,Automatic,Petrol
Audi,A4,Black,Manual,Electric
Mercedes-Benz,C Class,Green,Manual,Electric
Audi,A4,Gray,Automatic,Petrol
Mercedes-Benz,E Class,White,Manual,Petrol
Mercedes-Benz,C Class,White,Automatic,Electric
Audi,A4,Blue,Manual,Electric
BMW,Series 3,Light Gray,Automatic,Petrol
Mercedes-Benz,E Class,Dark Gray,Automatic,Electric
Audi,A1,Orange,Automatic,Petrol
Audi,A4,Dark Gray,Manual,Petrol
Audi,A1,Red,Automatic,Diesel
BMW,Series 3,Gray,Automatic,Electric
Audi,A1,Dark Gray,Manual,Diesel
BMW,Series 7,Light Gray,Automatic,Diesel
BMW,Series 7,Green,Manual,Electric
BMW,Series 7,Gray,Manual,Electric
BMW,Series 7,Orange,Manual,Petrol
Mercedes-Benz,AMG,Dark Gray,Manual,Diesel
Audi,A1,Orange,Manual,Electric
Mercedes-Benz,C Class,White,Manual,Petrol
Mercedes-Benz,AMG,Green,Manual,Petrol
Mercedes-Benz,AMG,Blue,Automatic,Electric
BMW,Series 3,Green,Manual,Petrol
Audi,A4,Red,Automatic,Diesel
BMW,Series 3,White,Automatic,Diesel
Audi,A1,White,Manual,Electric
BMW,Series 5,Light Gray,Manual,Diesel
BMW,Series 5,Dark Gray,Manual,Petrol
Mercedes-Benz,AMG,Orange,Manual,Diesel
BMW,Series 3,White,Automatic,Diesel
BMW,Series 5,Yellow,Automatic,Diesel
Mercedes-Benz,C Class,Dark Gray,Manual,Petrol
BMW,Series 7,Gray,Manual,Petrol
Audi,A4,Yellow,Automatic,Electric
Audi,TT,Black,Automatic,Electric
Mercedes-Benz,C Class,Gray,Automatic,Petrol
Audi,A1,White,Manual,Diesel
BMW,Series 5,Orange,Automatic,Diesel
Audi,A1,Orange,Automatic,Petrol
BMW,Series 3,Dark Gray,Automatic,Electric
BMW,Series 5,Light Gray,Automatic,Electric
BMW,Series 7,Green,Automatic,Electric
Mercedes-Benz,E Class,Gray,Automatic,Electric
Audi,A1,Dark Gray,Manual,Petrol
BMW,Series 7,Light Gray,Automatic,Diesel
Mercedes-Benz,E Class,Black,Automatic,Diesel
Audi,A4,White,Automatic,Electric
BMW,Series 7,Blue,Automatic,Diesel
Mercedes-Benz,E Class,Red,Manual,Electric
BMW,Series 5,Orange,Manual,Petrol
Mercedes-Benz,C Class,Orange,Automatic,Petrol
Mercedes-Benz,C Class,Light Gray,Automatic,Diesel
Audi,TT,White,Manual,Diesel
Audi,TT,Light Gray,Manual,Petrol
BMW,Series 7,Black,Automatic,Electric
Audi,A4,Green,Automatic,Petrol
Audi,A4,Blue,Manual,Petrol
Mercedes-Benz,C Class,Red,Manual,Electric
BMW,Series 5,Light Gray,Automatic,Diesel
Audi,A1,Gray,Manual,Electric
Mercedes-Benz,E Class,Red,Automatic,Petrol
Mercedes-Benz,E Class,Yellow,Manual,Diesel
BMW,Series 3,Black,Manual,Electric
Audi,A1,Gray,Automatic,Petrol
BMW,Series 5,White,Manual,Electric
Audi,A4,Yellow,Manual,Diesel
Mercedes-Benz,E Class,Gray,Manual,Electric
BMW,Series 7,Green,Automatic,Petrol
Mercedes-Benz,E Class,Black,Automatic,Diesel
BMW,Series 7,Black,Automatic,Petrol
Audi,TT,Black,Automatic,Diesel
Audi,A1,Dark Gray,Automatic,Electric
Audi,TT,Green,Manual,Diesel
Audi,TT,Yellow,Manual,Petrol
BMW,Series 5,Light Gray,Manual,Diesel
BMW,Series 3,White,Automatic,Diesel
BMW,Series 7,Yellow,Manual,Petrol
Mercedes-Benz,AMG,Blue,Manual,Petrol
BMW,Series 7,Orange,Manual,Petrol
Mercedes-Benz,C Class,Dark Gray,Manual,Diesel
Audi,A4,Orange,Manual,Diesel
BMW,Series 3,Light Gray,Manual,Electric
BMW,Series 7,Orange,Automatic,Electric
Audi,A4,Blue,Manual,Electric
BMW,Series 3,Red,Automatic,Diesel
BMW,Series 3,White,Automatic,Electric
Audi,A4,Light Gray,Automatic,Diesel
BMW,Series 3,Yellow,Automatic,Diesel
BMW,Series 5,Yellow,Automatic,Petrol
BMW,Series 7,White,Automatic,Petrol
Mercedes-Benz,AMG,Dark Gray,Manual,Electric
Mercedes-Benz,AMG,Black,Automatic,Electric
Audi,A4,Light Gray,Automatic,Petrol
BMW,Series 5,Gray,Manual,Diesel
Mercedes-Benz,AMG,Gray,Manual,Electric
Audi,TT,Dark Gray,Automatic,Petrol
Mercedes-Benz,E Class,Light Gray,Manual,Petrol
Mercedes-Benz,E Class,White,Automatic,Diesel
Audi,A1,Black,Automatic,Diesel
BMW,Series 7,Black,Manual,Petrol
Audi,A4,Black,Automatic,Electric
Mercedes-Benz,C Class,Dark Gray,Automatic,Electric
Mercedes-Benz,AMG,Black,Manual,Electric
BMW,Series 3,Blue,Manual,Petrol
Audi,TT,Black,Automatic,Electric
Mercedes-Benz,AMG,Red,Automatic,Diesel
Mercedes-Benz,E Class,White,Manual,Diesel
BMW,Series 7,Light Gray,Automatic,Petrol
Mercedes-Benz,AMG,Gray,Manual,Diesel
Audi,TT,Black,Automatic,Petrol
Mercedes-Benz,E Class,Green,Automatic,Petrol
Audi,A1,Light Gray,Automatic,Electric
Mercedes-Benz,E Class,Orange,Manual,Electric
Mercedes-Benz,AMG,Dark Gray,Manual,Electric
Mercedes-Benz,AMG,Green,Manual,Petrol
Audi,TT,Light Gray,Manual,Diesel
BMW,Series 5,Red,Automatic,Petrol
Audi,TT,White,Automatic,Petrol
Mercedes-Benz,E Class,Gray,Manual,Petrol
BMW,Series 3,Blue,Automatic,Petrol
Mercedes-Benz,C Class,Dark Gray,Automatic,Diesel
Audi,A4,Blue,Automatic,Petrol
Audi,TT,Gray,Automatic,Electric
BMW,Series 5,Black,Manual,Petrol
Audi,A1,Dark Gray,Manual,Electric
Audi,A1,Dark Gray,Manual,Petrol
Mercedes-Benz,AMG,Orange,Manual,Diesel
Mercedes-Benz,C Class,Red,Manual,Diesel
Audi,A4,White,Automatic,Electric
Audi,A1,Gray,Manual,Petrol
Mercedes-Benz,E Class,Orange,Automatic,Petrol
BMW,Series 5,Blue,Manual,Petrol
Mercedes-Benz,AMG,Orange,Manual,Electric
BMW,Series 7,White,Automatic,Diesel
BMW,Series 3,Light Gray,Manual,Petrol
BMW,Series 7,White,Manual,Petrol
Mercedes-Benz,AMG,Light Gray,Manual,Petrol
Mercedes-Benz,E Class,Red,Automatic,Diesel
Mercedes-Benz,AMG,White,Automatic,Petrol
Mercedes-Benz,C Class,White,Manual,Diesel
Mercedes-Benz,C Class,Light Gray,Manual,Electric
Audi,A4,Gray,Manual,Diesel
Audi,TT,White,Manual,Diesel
BMW,Series 3,Orange,Automatic,Diesel
Audi,TT,Blue,Manual,Electric
Mercedes-Benz,E Class,Dark Gray,Manual,Electric
BMW,Series 7,Red,Manual,Diesel
BMW,Series 7,Blue,Automatic,Electric
Mercedes-Benz,C Class,Gray,Manual,Diesel
BMW,Series 3,Blue,Manual,Diesel
Mercedes-Benz,E Class,White,Manual,Diesel
Audi,TT,Yellow,Automatic,Diesel
Audi,A4,Blue,Automatic,Petrol
Audi,A4,Light Gray,Manual,Petrol
BMW,Series 7,Light Gray,Automatic,Petrol
BMW,Series 7,Black,Automatic,Diesel
Mercedes-Benz,AMG,Green,Automatic,Diesel
BMW,Series 5,Gray,Manual,Petrol
Audi,A1,Red,Automatic,Electric
Mercedes-Benz,AMG,Green,Manual,Petrol
BMW,Series 5,Green,Manual,Diesel
Mercedes-Benz,C Class,Yellow,Manual,Electric
BMW,Series 3,White,Automatic,Petrol
Mercedes-Benz,C Class,Yellow,Automatic,Petrol
Audi,A4,Black,Manual,Electric
Mercedes-Benz,E Class,White,Manual,Electric
BMW,Series 3,Black,Automatic,Diesel
BMW,Series 3,White,Manual,Electric
BMW,Series 7,Green,Automatic,Diesel
BMW,Series 3,Gray,Manual,Petrol
Mercedes-Benz,E Class,Yellow,Manual,Electric
Audi,A1,Dark Gray,Manual,Electric
Audi,A4,Black,Manual,Diesel
Mercedes-Benz,C Class,Green,Automatic,Electric
Audi,A1,Orange,Automatic,Petrol
Mercedes-Benz,E Class,Gray,Manual,Petrol
Mercedes-Benz,AMG,Blue,Automatic,Diesel
BMW,Series 5,White,Manual,Electric
Audi,TT,Dark Gray,Manual,Diesel
Mercedes-Benz,AMG,Orange,Automatic,Petrol
Mercedes-Benz,AMG,Green,Manual,Electric
Mercedes-Benz,C Class,Green,Manual,Petrol
Audi,A4,White,Automatic,Diesel
Audi,TT,Red,Manual,Diesel
BMW,Series 7,Yellow,Manual,Diesel
Audi,A1,Red,Manual,Petrol
Audi,A1,Black,Automatic,Petrol
Mercedes-Benz,E Class,Blue,Manual,Electric
Audi,A1,Black,Automatic,Diesel
Mercedes-Benz,C Class,Green,Automatic,Electric
BMW,Series 5,White,Automatic,Petrol
